absolute_path,relative_path,class_label
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0000.jpeg,dataset\tiger\0000.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0001.jpeg,dataset\tiger\0001.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0002.jpeg,dataset\tiger\0002.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0003.jpeg,dataset\tiger\0003.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0004.jpeg,dataset\tiger\0004.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0005.jpeg,dataset\tiger\0005.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0006.jpeg,dataset\tiger\0006.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0007.jpeg,dataset\tiger\0007.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0008.jpeg,dataset\tiger\0008.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0009.jpeg,dataset\tiger\0009.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0010.jpeg,dataset\tiger\0010.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0011.jpeg,dataset\tiger\0011.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0012.jpeg,dataset\tiger\0012.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0013.jpeg,dataset\tiger\0013.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0014.jpeg,dataset\tiger\0014.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0015.jpeg,dataset\tiger\0015.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0016.jpeg,dataset\tiger\0016.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0017.jpeg,dataset\tiger\0017.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0018.jpeg,dataset\tiger\0018.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0019.jpeg,dataset\tiger\0019.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0020.jpeg,dataset\tiger\0020.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0021.jpeg,dataset\tiger\0021.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0022.jpeg,dataset\tiger\0022.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0023.jpeg,dataset\tiger\0023.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0024.jpeg,dataset\tiger\0024.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0025.jpeg,dataset\tiger\0025.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0026.jpeg,dataset\tiger\0026.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0027.jpeg,dataset\tiger\0027.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0028.jpeg,dataset\tiger\0028.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0029.jpeg,dataset\tiger\0029.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0030.jpeg,dataset\tiger\0030.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0031.jpeg,dataset\tiger\0031.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0032.jpeg,dataset\tiger\0032.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0033.jpeg,dataset\tiger\0033.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0034.jpeg,dataset\tiger\0034.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0035.jpeg,dataset\tiger\0035.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0036.jpeg,dataset\tiger\0036.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0037.jpeg,dataset\tiger\0037.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0038.jpeg,dataset\tiger\0038.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0039.jpeg,dataset\tiger\0039.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0040.jpeg,dataset\tiger\0040.jpeg,tiger
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset\tiger\0041.jpeg,dataset\tiger\0041.jpeg,tiger
